brand,model,type,connectivity,driver_type,freq_low_hz,freq_high_hz,impedance_ohm,sensitivity_db,thd_percent,weight_g,microphone,noise_cancellation,foldable,battery_hrs,bt_version,codecs,charging_port,water_rating,color,price_usd,release_year,warranty_yrs,avg_rating,review_count,primary_use,form_factor,price_segment,rating_category,battery_category,warranty_category,product_name
Shokz,OpenDots One,Wireless,Bluetooth,Balanced Armature,15,20000,18,109.7,0.0127,7.6,True,False,False,31.1,5.1,"LDAC,AAC,SBC",Lightning,IP55,Titanium,210,2022,2,4.1,502,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Extended,Shokz OpenDots One
Sony,WF-XB700,Wireless,Bluetooth,Balanced Armature,10,24000,18,103.6,0.014,8.4,True,False,True,14.8,5.0,"AAC,SBC",USB-C,IP55,Pearl White,90,2022,1,3.9,1859,Work/Office,In-Ear,Budget,Average,Low,Standard,Sony WF-XB700
Huawei,FreeBuds 4i,Wireless,Bluetooth,Balanced Armature,10,40000,18,101.4,0.0035,11.6,True,False,False,26.8,5.2,"aptX,AAC,SBC",Lightning,IPX2,Titanium,80,2021,1,4.5,515,Sport/Fitness,In-Ear,Budget,Excellent,Medium,Standard,Huawei FreeBuds 4i
Logitech,G Fits,Wireless,Bluetooth,Dynamic,15,24000,32,103.4,0.0129,11.1,True,True,False,34.8,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IP55,Black,410,2021,2,4.4,959,Hi-Fi/Reference,In-Ear,Premium,Good,Medium,Extended,Logitech G Fits
Realme,Buds Air 3,Wireless,Bluetooth,Dynamic,15,24000,32,109.3,0.0074,5.9,True,True,False,51.8,5.2,"LHDC,AAC,SBC",USB-C,Not Rated,Sand,230,2018,2,4.1,2638,Commuting/Travel,In-Ear,Mid-Range,Good,High,Extended,Realme Buds Air 3
Apple,AirPods 2,Wireless,Bluetooth,Hybrid,18,24000,16,103.4,0.014,8.4,True,False,True,26.6,5.3,SBC,USB-C,IP55,Red,110,2022,2,3.6,12988,Sport/Fitness,In-Ear,Mid-Range,Average,Medium,Extended,Apple AirPods 2
Redmi,Buds 4,Wireless,Bluetooth,Balanced Armature,10,24000,16,101.1,0.0061,9.8,True,False,False,36.8,5.2,SBC,USB-C,Not Rated,Graphite,100,2018,1,4.6,982,Music/Casual,In-Ear,Mid-Range,Excellent,Medium,Standard,Redmi Buds 4
Huawei,FreeBuds 4i,Wireless,Bluetooth,Balanced Armature,20,22000,22,110.9,0.0093,5.0,True,True,True,44.8,5.2,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IPX8,Carbon,440,2024,1,4.7,1075,Music/Audiophile,In-Ear,Premium,Excellent,High,Standard,Huawei FreeBuds 4i
Redmi,Buds 4,Wireless,Bluetooth,Planar,10,20000,32,106.5,0.0132,4.4,True,True,True,35.2,5.3,"AAC,SBC",Micro-USB,IPX2,Dark Green,250,2021,2,4.5,420,Music/Audiophile,In-Ear,Premium,Excellent,Medium,Extended,Redmi Buds 4
Redmi,Buds 6,Wireless,Bluetooth,Dynamic,15,22000,22,108.4,0.0075,9.2,True,False,False,43.7,5.1,"aptX,AAC,SBC",USB-C,IPX4,Graphite,120,2023,2,4.3,2251,Bass/Casual,In-Ear,Mid-Range,Good,High,Extended,Redmi Buds 6
Edifier,TWS1 Pro,Wireless,Bluetooth,Hybrid,20,20000,32,111.4,0.0119,8.9,True,True,False,29.3,5.3,"LHDC,AAC,SBC",USB-C,Not Rated,Carbon,130,2023,1,4.8,228,Commuting/Travel,In-Ear,Mid-Range,Excellent,Medium,Standard,Edifier TWS1 Pro
Logitech,G Fits,Wireless,Bluetooth,Dynamic,20,22000,32,107.0,0.0084,5.8,True,True,False,36.4,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IPX8,Rose Gold,170,2023,1,3.9,993,Studio/Pro,In-Ear,Mid-Range,Average,Medium,Standard,Logitech G Fits
CMF,Buds,Wireless,Bluetooth,Dynamic,15,20000,18,105.3,0.0063,9.2,True,True,False,14.7,5.2,SBC,USB-C,IPX4,Gunmetal,170,2023,1,4.0,896,Work/Office,In-Ear,Mid-Range,Good,Low,Standard,CMF Buds
Xiaomi,Buds 4 Pro,Wireless,Bluetooth,Balanced Armature,18,24000,18,100.3,0.0059,5.6,True,False,True,31.6,5.0,"aptX HD,aptX,AAC,SBC",Micro-USB,Not Rated,Midnight Blue,200,2018,1,4.1,1779,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Standard,Xiaomi Buds 4 Pro
OnePlus,Buds Z2,Wireless,Bluetooth,Dynamic,18,40000,22,111.4,0.0084,12.0,True,True,False,40.7,5.2,SBC,Micro-USB,IPX4,Forest Green,220,2023,2,4.3,1075,Work/Office,In-Ear,Mid-Range,Good,High,Extended,OnePlus Buds Z2
Sennheiser,CX Plus,Wireless,Bluetooth,Hybrid,10,40000,32,109.6,0.0102,8.8,True,False,False,26.9,5.1,SBC,Lightning,Not Rated,White,170,2019,1,3.7,841,Work/Office,In-Ear,Mid-Range,Average,Medium,Standard,Sennheiser CX Plus
Jabra,Elite 8 Active,Wireless,Bluetooth,Balanced Armature,18,40000,32,101.6,0.0083,4.5,True,True,True,26.5,5.1,"LDAC,AAC,SBC",Lightning,IPX7,Space Gray,250,2019,2,4.5,325,Music/Audiophile,In-Ear,Premium,Excellent,Medium,Extended,Jabra Elite 8 Active
Huawei,FreeBuds 5i,Wireless,Bluetooth,Dynamic,20,22000,32,111.1,0.0086,8.2,True,False,False,11.2,5.3,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,Not Rated,Indigo,170,2023,1,4.2,1872,Bass/Casual,In-Ear,Mid-Range,Good,Low,Standard,Huawei FreeBuds 5i
Xiaomi,Buds 4 Pro,Wireless,Bluetooth,Dynamic,15,20000,18,109.9,0.0098,11.2,True,False,False,22.4,5.2,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,Not Rated,Dark Green,280,2018,1,4.9,5153,Hi-Fi/Reference,In-Ear,Premium,Excellent,Medium,Standard,Xiaomi Buds 4 Pro
Edifier,NeoBuds Pro,Wireless,Bluetooth,Planar,18,40000,18,105.7,0.0088,6.5,True,True,False,45.0,5.3,"LHDC,AAC,SBC",USB-C,IP57,Cosmic Black,210,2022,1,3.6,1090,Budget/Everyday,In-Ear,Mid-Range,Average,High,Standard,Edifier NeoBuds Pro
Apple,AirPods Pro,Wireless,Bluetooth,Dynamic,18,24000,18,108.3,0.0047,11.6,True,False,False,20.2,5.2,"AAC,SBC",Lightning,IPX7,Space Gray,150,2023,2,4.3,9421,Sport/Fitness,In-Ear,Mid-Range,Good,Medium,Extended,Apple AirPods Pro
Sennheiser,Momentum True Wireless 3,Wireless,Bluetooth,Hybrid,20,20000,18,105.8,0.0102,5.5,True,True,False,38.1,5.0,SBC,Lightning,IPX4,Gunmetal,350,2023,1,4.4,591,Bass/Casual,In-Ear,Premium,Good,Medium,Standard,Sennheiser Momentum True Wireless 3
Shokz,OpenFit,Wireless,Bluetooth,Hybrid,10,40000,22,109.1,0.0043,9.9,True,True,False,15.3,4.2,SBC,USB-C,IP54,Black,320,2018,1,4.4,718,Gaming,In-Ear,Premium,Good,Low,Standard,Shokz OpenFit
Skullcandy,Rail,Wireless,Bluetooth,Hybrid,10,22000,22,110.7,0.0121,11.9,True,True,False,40.6,5.2,"LDAC,aptX,AAC,SBC",Micro-USB,IP57,Graphite,240,2023,1,4.1,22092,Commuting/Travel,In-Ear,Mid-Range,Good,High,Standard,Skullcandy Rail
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Hybrid,15,40000,22,105.4,0.0091,10.7,True,True,False,32.6,5.0,"AAC,SBC",USB-C,IP55,Titanium,350,2019,1,4.5,786,Music/Casual,In-Ear,Premium,Excellent,Medium,Standard,Xiaomi Redmi Buds Essential
Sony,WF-C500,Wireless,Bluetooth,Balanced Armature,15,22000,18,101.2,0.0098,4.0,True,True,False,12.9,5.0,SBC,USB-C,Not Rated,Champagne,180,2019,1,4.5,75,Music/Casual,In-Ear,Mid-Range,Excellent,Low,Standard,Sony WF-C500
Sennheiser,Momentum True Wireless 4,Wireless,Bluetooth,Balanced Armature,18,24000,22,111.2,0.006,4.4,True,True,True,16.4,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,IPX7,Brown,180,2021,2,4.5,1760,Commuting/Travel,In-Ear,Mid-Range,Excellent,Low,Extended,Sennheiser Momentum True Wireless 4
Logitech,G Fits,Wireless,Bluetooth,Hybrid,15,22000,18,100.6,0.0133,7.2,True,False,False,13.8,Multipoint 5.3,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX4,Brown,210,2020,1,4.1,10357,Work/Office,In-Ear,Mid-Range,Good,Low,Standard,Logitech G Fits
Edifier,TWS1 Pro,Wireless,Bluetooth,Dynamic,20,24000,22,111.8,0.0104,5.3,True,True,False,40.2,5.0,SBC,USB-C,IPX7,Matte Black,150,2022,1,4.1,376,Gaming,In-Ear,Mid-Range,Good,High,Standard,Edifier TWS1 Pro
Apple,AirPods 3,Wireless,Bluetooth,Balanced Armature,10,24000,22,102.7,0.0111,6.8,True,False,True,32.2,4.2,"aptX,AAC,SBC",Micro-USB,IPX4,Graphite,180,2021,1,4.4,790,Budget/Everyday,In-Ear,Mid-Range,Good,Medium,Standard,Apple AirPods 3
Huawei,FreeBuds Pro 2,Wireless,Bluetooth,Hybrid,15,40000,32,100.6,0.0037,10.8,True,False,True,34.7,5.0,"aptX,AAC,SBC",USB-C,IPX4,Graphite,140,2021,1,4.8,6383,Music/Casual,In-Ear,Mid-Range,Excellent,Medium,Standard,Huawei FreeBuds Pro 2
CMF,Buds Pro,Wireless,Bluetooth,Balanced Armature,15,24000,18,106.5,0.0046,9.3,True,True,False,32.9,5.2,"LDAC,aptX,AAC,SBC",USB-C,Not Rated,Red,220,2021,1,3.9,5227,Music/Audiophile,In-Ear,Mid-Range,Average,Medium,Standard,CMF Buds Pro
Philips,TAT4556,Wireless,Bluetooth,Dynamic,20,40000,18,112.0,0.0087,8.6,True,False,True,15.5,5.0,SBC,USB-C,Not Rated,Dark Green,160,2020,1,4.2,349,Music/Casual,In-Ear,Mid-Range,Good,Low,Standard,Philips TAT4556
Nothing,Ear,Wireless,Bluetooth,Dynamic,15,20000,32,106.5,0.0067,7.8,True,False,True,26.9,5.0,"AAC,SBC",USB-C,IPX7,Cosmic Black,130,2024,2,4.7,1417,Bass/Casual,In-Ear,Mid-Range,Excellent,Medium,Extended,Nothing Ear
OnePlus,Buds Pro 2,Wireless,Bluetooth,Planar,18,20000,16,102.8,0.0054,6.9,True,True,False,32.1,Multipoint 5.3,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,IP55,Rose Gold,250,2023,2,4.4,2374,Work/Office,In-Ear,Premium,Good,Medium,Extended,OnePlus Buds Pro 2
CMF,Buds Pro,Wireless,Bluetooth,Dynamic,18,22000,16,102.9,0.0106,4.9,True,True,False,38.0,Multipoint 5.3,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IPX2,Forest Green,320,2020,1,4.6,3175,Studio/Pro,In-Ear,Premium,Excellent,Medium,Standard,CMF Buds Pro
boAt,Airdopes 161,Wireless,Bluetooth,Balanced Armature,15,24000,16,108.2,0.0076,6.4,True,True,True,9.6,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,IPX8,Titanium,260,2019,1,4.4,4114,Bass/Casual,In-Ear,Premium,Good,Low,Standard,boAt Airdopes 161
Edifier,TWS1 Pro,Wireless,Bluetooth,Dynamic,10,20000,22,102.7,0.0142,4.1,True,False,True,24.8,5.2,"LDAC,AAC,SBC",USB-C,Not Rated,Cream,200,2024,1,4.6,3187,Hi-Fi/Reference,In-Ear,Mid-Range,Excellent,Medium,Standard,Edifier TWS1 Pro
Realme,Buds Air 5,Wireless,Bluetooth,Planar,10,20000,32,108.5,0.0081,6.6,True,False,True,35.6,5.2,"LDAC,aptX,AAC,SBC",USB-C,IPX2,Red,230,2018,1,4.4,1358,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Standard,Realme Buds Air 5
boAt,Airdopes 170,Wireless,Bluetooth,Planar,18,20000,16,100.3,0.0096,4.8,True,False,False,25.3,5.1,"AAC,SBC",USB-C,IPX7,Midnight Blue,120,2019,2,3.7,3910,Music/Audiophile,In-Ear,Mid-Range,Average,Medium,Extended,boAt Airdopes 170
Sennheiser,Momentum True Wireless 3,Wireless,Bluetooth,Balanced Armature,20,20000,16,109.1,0.0145,11.1,True,False,False,31.0,5.2,"LDAC,aptX,AAC,SBC",Lightning,IPX2,Champagne,180,2022,1,4.4,5633,Work/Office,In-Ear,Mid-Range,Good,Medium,Standard,Sennheiser Momentum True Wireless 3
Sennheiser,Momentum True Wireless 3,Wireless,Bluetooth,Hybrid,15,20000,22,104.1,0.0108,4.0,True,False,False,29.8,5.0,"aptX HD,aptX,AAC,SBC",USB-C,Not Rated,Matte Black,130,2023,2,3.9,539,Work/Office,In-Ear,Mid-Range,Average,Medium,Extended,Sennheiser Momentum True Wireless 3
Shokz,OpenFit Air,Wireless,Bluetooth,Balanced Armature,18,40000,32,100.4,0.004,9.6,True,True,True,36.0,5.2,SBC,USB-C,Not Rated,Indigo,340,2018,1,3.5,1127,Commuting/Travel,In-Ear,Premium,Average,Medium,Standard,Shokz OpenFit Air
Sony,WF-1000XM5,Wireless,Bluetooth,Balanced Armature,15,40000,22,103.7,0.0135,11.2,True,False,True,24.7,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Indigo,110,2019,2,3.9,244,Commuting/Travel,In-Ear,Mid-Range,Average,Medium,Extended,Sony WF-1000XM5
Jabra,Elite 7 Pro,Wireless,Bluetooth,Hybrid,20,40000,18,109.2,0.0101,4.0,True,False,False,30.7,5.0,"aptX HD,aptX,AAC,SBC",USB-C,Not Rated,Navy,130,2024,2,4.3,6522,Bass/Casual,In-Ear,Mid-Range,Good,Medium,Extended,Jabra Elite 7 Pro
Logitech,G Fits,Wireless,Bluetooth,Hybrid,20,20000,22,104.7,0.0135,6.7,True,True,False,25.7,5.3,"LDAC,AAC,SBC",Lightning,Not Rated,Black,310,2020,2,4.5,3972,Commuting/Travel,In-Ear,Premium,Excellent,Medium,Extended,Logitech G Fits
Apple,AirPods Pro 2,Wireless,Bluetooth,Balanced Armature,18,20000,22,107.7,0.0053,11.8,True,False,False,16.9,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Lightning,IP57,White,150,2020,2,3.9,5012,Budget/Everyday,In-Ear,Mid-Range,Average,Low,Extended,Apple AirPods Pro 2
Noise,Buds VS102,Wireless,Bluetooth,Dynamic,15,20000,22,100.8,0.0108,11.0,True,False,False,39.2,4.2,"aptX HD,aptX,AAC,SBC",USB-C,Not Rated,Black,180,2021,1,4.2,669,Gaming,In-Ear,Mid-Range,Good,Medium,Standard,Noise Buds VS102
pTron,Bassbuds Duo,Wireless,Bluetooth,Dynamic,18,22000,16,102.8,0.0068,6.2,True,False,False,39.2,5.2,"LDAC,aptX,AAC,SBC",Micro-USB,IP55,Space Gray,250,2020,1,4.1,3976,Gaming,In-Ear,Premium,Good,Medium,Standard,pTron Bassbuds Duo
Apple,AirPods 4,Wireless,Bluetooth,Dynamic,18,40000,18,108.7,0.013,5.9,True,True,False,27.5,5.0,"LDAC,AAC,SBC",USB-C,IPX8,Matte Black,250,2021,2,3.8,2621,Sport/Fitness,In-Ear,Premium,Average,Medium,Extended,Apple AirPods 4
Beats,Fit Pro,Wireless,Bluetooth,Dynamic,10,40000,22,102.5,0.0033,7.2,True,True,False,34.8,5.0,SBC,USB-C,IP54,Matte Black,200,2020,2,4.3,2308,Work/Office,In-Ear,Mid-Range,Good,Medium,Extended,Beats Fit Pro
Philips,TAT4556,Wireless,Bluetooth,Hybrid,15,40000,32,106.3,0.0136,5.3,True,True,True,13.0,5.2,"aptX,AAC,SBC",USB-C,IP55,Dark Green,170,2020,1,3.8,304,Budget/Everyday,In-Ear,Mid-Range,Average,Low,Standard,Philips TAT4556
Logitech,G Fits,Wireless,Bluetooth,Balanced Armature,20,24000,18,109.7,0.0123,7.5,True,True,True,10.9,5.2,"AAC,SBC",USB-C,IPX4,Forest Green,170,2020,1,3.9,353,Studio/Pro,In-Ear,Mid-Range,Average,Low,Standard,Logitech G Fits
Apple,AirPods 2,Wireless,Bluetooth,Dynamic,18,20000,32,110.6,0.0039,5.3,True,True,False,54.1,5.0,"AAC,SBC",USB-C,IP57,White,140,2020,2,4.5,722,Budget/Everyday,In-Ear,Mid-Range,Excellent,High,Extended,Apple AirPods 2
Shokz,OpenFit,Wireless,Bluetooth,Balanced Armature,15,22000,18,100.7,0.0067,11.3,True,False,True,34.1,5.0,"LDAC,AAC,SBC",Lightning,IP54,Indigo,180,2019,1,4.5,3860,Studio/Pro,In-Ear,Mid-Range,Excellent,Medium,Standard,Shokz OpenFit
Logitech,G Fits,Wireless,Bluetooth,Hybrid,10,22000,22,108.3,0.0047,8.4,True,False,True,32.3,5.0,"aptX HD,aptX,AAC,SBC",USB-C,Not Rated,Pearl White,110,2020,1,4.4,698,Budget/Everyday,In-Ear,Mid-Range,Good,Medium,Standard,Logitech G Fits
Samsung,Galaxy Buds3,Wireless,Bluetooth,Dynamic,15,40000,16,111.9,0.0097,6.9,True,False,False,48.4,5.0,"LDAC,AAC,SBC",USB-C,IPX4,Titanium,210,2022,1,4.5,1851,Commuting/Travel,In-Ear,Mid-Range,Excellent,High,Standard,Samsung Galaxy Buds3
JBL,Live Pro 2,Wireless,Bluetooth,Dynamic,15,20000,18,100.1,0.0038,11.9,True,False,False,37.7,5.3,"LDAC,AAC,SBC",Micro-USB,IPX8,Dark Green,200,2022,1,4.0,2438,Hi-Fi/Reference,In-Ear,Mid-Range,Good,Medium,Standard,JBL Live Pro 2
Sennheiser,Momentum True Wireless 4,Wireless,Bluetooth,Planar,15,24000,22,110.2,0.009,7.6,True,False,False,25.0,5.0,SBC,Lightning,Not Rated,Navy,140,2019,2,4.1,4466,Music/Casual,In-Ear,Mid-Range,Good,Medium,Extended,Sennheiser Momentum True Wireless 4
JBL,Live Beam 3,Wireless,Bluetooth,Dynamic,10,24000,16,105.1,0.0098,9.0,True,True,True,36.1,5.0,"LDAC,AAC,SBC",USB-C,Not Rated,Forest Green,270,2019,1,4.7,4358,Work/Office,In-Ear,Premium,Excellent,Medium,Standard,JBL Live Beam 3
Logitech,G Fits,Wireless,Bluetooth,Balanced Armature,20,22000,22,108.4,0.0065,9.2,True,False,True,16.3,Multipoint 5.3,SBC,USB-C,Not Rated,Champagne,160,2023,1,4.5,857,Music/Casual,In-Ear,Mid-Range,Excellent,Low,Standard,Logitech G Fits
Shokz,OpenFit Air,Wireless,Bluetooth,Planar,18,22000,22,106.1,0.0097,11.5,True,False,False,43.1,5.2,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IPX4,Red,180,2022,1,4.3,1815,Work/Office,In-Ear,Mid-Range,Good,High,Standard,Shokz OpenFit Air
Samsung,Galaxy Buds3 Pro,Wireless,Bluetooth,Hybrid,18,20000,16,106.3,0.0101,9.2,True,True,False,25.9,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IP54,Gunmetal,430,2019,2,4.2,2583,Hi-Fi/Reference,In-Ear,Premium,Good,Medium,Extended,Samsung Galaxy Buds3 Pro
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Balanced Armature,20,40000,18,108.6,0.008,7.1,True,False,False,22.7,5.1,"LDAC,AAC,SBC",USB-C,IPX8,Sand,220,2023,1,4.6,567,Studio/Pro,In-Ear,Mid-Range,Excellent,Medium,Standard,Xiaomi Redmi Buds Essential
Logitech,Zone True Wireless,Wireless,Bluetooth,Planar,15,20000,18,111.9,0.0032,6.5,True,True,False,42.5,Multipoint 5.3,"aptX,AAC,SBC",Micro-USB,Not Rated,Brown,130,2024,2,4.7,3101,Music/Casual,In-Ear,Mid-Range,Excellent,High,Extended,Logitech Zone True Wireless
Boult,Z40 Pro,Wireless,Bluetooth,Planar,18,22000,16,109.2,0.0137,11.7,True,False,False,34.5,5.0,"AAC,SBC",USB-C,Not Rated,Brown,70,2019,2,4.1,71748,Budget/Everyday,In-Ear,Budget,Good,Medium,Extended,Boult Z40 Pro
Xiaomi,Buds 4 Pro,Wireless,Bluetooth,Dynamic,18,40000,18,106.1,0.0101,4.5,True,True,False,26.9,5.3,"LDAC,aptX,AAC,SBC",USB-C,IPX4,Red,400,2024,1,4.4,4080,Sport/Fitness,In-Ear,Premium,Good,Medium,Standard,Xiaomi Buds 4 Pro
Realme,Buds T100,Wireless,Bluetooth,Balanced Armature,20,22000,18,108.3,0.0053,8.0,True,False,True,41.1,5.3,SBC,Lightning,IP55,Pearl White,120,2018,1,4.4,193,Studio/Pro,In-Ear,Mid-Range,Good,High,Standard,Realme Buds T100
Sennheiser,CX True Wireless,Wireless,Bluetooth,Balanced Armature,10,24000,22,100.9,0.0067,11.4,True,True,False,25.9,5.2,"aptX,AAC,SBC",Lightning,IPX4,White,150,2019,2,4.2,1602,Sport/Fitness,In-Ear,Mid-Range,Good,Medium,Extended,Sennheiser CX True Wireless
Sony,WF-C500,Wireless,Bluetooth,Balanced Armature,18,20000,18,104.1,0.0139,5.0,True,False,False,38.0,5.2,SBC,USB-C,IPX4,Matte Black,70,2019,1,4.3,4783,Bass/Casual,In-Ear,Budget,Good,Medium,Standard,Sony WF-C500
Skullcandy,Sesh Evo,Wireless,Bluetooth,Planar,18,22000,22,111.4,0.0076,6.9,True,True,False,33.6,5.2,"LDAC,AAC,SBC",Micro-USB,IPX7,Midnight Blue,330,2022,2,3.9,6654,Hi-Fi/Reference,In-Ear,Premium,Average,Medium,Extended,Skullcandy Sesh Evo
Realme,Buds T310,Wireless,Bluetooth,Dynamic,10,22000,16,104.4,0.0093,7.6,True,True,False,22.8,5.0,SBC,USB-C,IPX4,Red,210,2020,1,4.5,995,Work/Office,In-Ear,Mid-Range,Excellent,Medium,Standard,Realme Buds T310
Redmi,Buds 6,Wireless,Bluetooth,Dynamic,18,22000,18,104.9,0.0042,4.1,True,False,False,40.1,Multipoint 5.3,"AAC,SBC",Micro-USB,IPX7,Space Gray,130,2022,2,4.6,9662,Work/Office,In-Ear,Mid-Range,Excellent,High,Extended,Redmi Buds 6
Apple,AirPods Pro,Wireless,Bluetooth,Balanced Armature,10,22000,32,104.7,0.0088,10.1,True,True,True,51.8,5.3,"LHDC,AAC,SBC",USB-C,IPX8,Navy,170,2018,2,4.6,450,Commuting/Travel,In-Ear,Mid-Range,Excellent,High,Extended,Apple AirPods Pro
Samsung,Galaxy Buds Live,Wireless,Bluetooth,Dynamic,10,20000,18,100.5,0.0105,5.5,True,False,False,10.5,5.3,"aptX,AAC,SBC",Micro-USB,Not Rated,Brown,150,2018,2,4.6,1132,Work/Office,In-Ear,Mid-Range,Excellent,Low,Extended,Samsung Galaxy Buds Live
Sony,WF-1000XM5,Wireless,Bluetooth,Balanced Armature,15,40000,16,110.9,0.0144,4.5,True,True,False,34.8,5.0,"AAC,SBC",Lightning,IPX4,White,220,2021,2,4.3,1122,Studio/Pro,In-Ear,Mid-Range,Good,Medium,Extended,Sony WF-1000XM5
Jabra,Elite 5,Wireless,Bluetooth,Dynamic,10,24000,16,109.5,0.0138,5.3,True,True,False,49.1,5.2,"LDAC,AAC,SBC",USB-C,IPX4,Carbon,360,2024,2,4.6,8122,Commuting/Travel,In-Ear,Premium,Excellent,High,Extended,Jabra Elite 5
boAt,Airdopes 161,Wireless,Bluetooth,Dynamic,15,22000,22,103.0,0.0107,4.3,True,True,False,36.4,5.0,"aptX,AAC,SBC",USB-C,IPX4,Cream,230,2023,1,3.7,496,Studio/Pro,In-Ear,Mid-Range,Average,Medium,Standard,boAt Airdopes 161
Edifier,TWS1 Pro,Wireless,Bluetooth,Dynamic,10,22000,32,109.5,0.0149,5.5,True,False,True,17.1,5.1,"aptX,AAC,SBC",Lightning,IP57,Carbon,170,2022,1,4.2,3585,Work/Office,In-Ear,Mid-Range,Good,Low,Standard,Edifier TWS1 Pro
Xiaomi,Buds 5 Pro,Wireless,Bluetooth,Hybrid,15,22000,16,109.8,0.0101,10.6,True,False,False,36.5,5.0,"aptX,AAC,SBC",USB-C,IP55,Sand,120,2018,1,4.3,1532,Commuting/Travel,In-Ear,Mid-Range,Good,Medium,Standard,Xiaomi Buds 5 Pro
Apple,AirPods 4,Wireless,Bluetooth,Balanced Armature,18,20000,32,106.3,0.0113,9.4,True,False,False,51.4,5.1,"AAC,SBC",USB-C,IPX4,Cream,120,2023,2,3.8,1319,Commuting/Travel,In-Ear,Mid-Range,Average,High,Extended,Apple AirPods 4
boAt,Nirvana Crystl,Wireless,Bluetooth,Dynamic,15,24000,32,109.9,0.0084,6.0,True,True,False,13.9,Multipoint 5.3,"LDAC,AAC,SBC",USB-C,IP54,Indigo,290,2024,2,4.2,9979,Work/Office,In-Ear,Premium,Good,Low,Extended,boAt Nirvana Crystl
Skullcandy,Dime 3,Wireless,Bluetooth,Dynamic,15,22000,32,105.7,0.0077,7.6,True,False,False,39.7,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,IP54,Brown,200,2024,1,4.1,823,Sport/Fitness,In-Ear,Mid-Range,Good,Medium,Standard,Skullcandy Dime 3
CMF,Buds Pro 2,Wireless,Bluetooth,Planar,18,24000,22,105.9,0.0078,8.0,True,True,False,19.6,4.2,"LDAC,AAC,SBC",USB-C,IP55,White,180,2023,1,4.4,3038,Budget/Everyday,In-Ear,Mid-Range,Good,Low,Standard,CMF Buds Pro 2
Edifier,X5 Pro,Wireless,Bluetooth,Planar,18,22000,16,101.6,0.01,9.5,True,True,False,27.8,5.2,SBC,USB-C,IPX4,Dark Green,210,2021,1,4.1,889,Sport/Fitness,In-Ear,Mid-Range,Good,Medium,Standard,Edifier X5 Pro
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Dynamic,15,24000,18,107.2,0.0037,12.0,True,False,False,32.8,5.2,"AAC,SBC",Lightning,IPX4,Rose Gold,90,2024,2,4.5,650,Gaming,In-Ear,Budget,Excellent,Medium,Extended,Xiaomi Redmi Buds Essential
Samsung,Galaxy Buds FE,Wireless,Bluetooth,Dynamic,18,20000,32,101.1,0.0102,4.0,True,True,False,56.1,5.0,SBC,Lightning,Not Rated,Matte Black,220,2024,1,4.4,3872,Music/Casual,In-Ear,Mid-Range,Good,High,Standard,Samsung Galaxy Buds FE
Shokz,OpenFit,Wireless,Bluetooth,Balanced Armature,18,40000,18,104.4,0.0054,4.3,True,False,False,27.7,4.2,"AAC,SBC",USB-C,IP55,Black,110,2020,1,4.2,2961,Music/Casual,In-Ear,Mid-Range,Good,Medium,Standard,Shokz OpenFit
Samsung,Galaxy Buds Live,Wireless,Bluetooth,Hybrid,15,22000,22,100.4,0.007,10.1,True,True,False,36.2,5.2,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IPX8,Carbon,280,2021,1,4.4,972,Studio/Pro,In-Ear,Premium,Good,Medium,Standard,Samsung Galaxy Buds Live
Philips,TAT2206,Wireless,Bluetooth,Balanced Armature,18,40000,16,103.1,0.0149,8.8,True,False,False,35.7,5.3,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,Not Rated,Cosmic Black,90,2019,2,4.6,3930,Gaming,In-Ear,Budget,Excellent,Medium,Extended,Philips TAT2206
CMF,Buds Pro 2,Wireless,Bluetooth,Balanced Armature,18,22000,18,103.0,0.0114,8.8,True,True,True,22.2,5.2,"AAC,SBC",USB-C,Not Rated,Midnight Blue,250,2023,1,4.2,5510,Bass/Casual,In-Ear,Premium,Good,Medium,Standard,CMF Buds Pro 2
